,Day_length,Tmax,Tmin,Tavg,ResultSpeed,ResultDir,AvgSpeed,Sunset,Sunrise,Heat,Depart,DewPoint,WetBulb,Cool,PrecipTotal,StnPressure,Latitude,Longitude,Month,Day_length_exp,Tavg_shift,Heat_exp,Cool_shift,Tmax_shift,Tmin_shift,Depart_shift,ResultSpeed_shift,ResultDir_exp,PrecipTotal_exp,WetBulb_exp,Species_CULEX ERRATICUS,Species_CULEX PIPIENS,Species_CULEX PIPIENS/RESTUANS,Species_CULEX RESTUANS,Species_CULEX SALINARIUS,Species_CULEX TARSALIS,Species_CULEX TERRITANS,WnvPresent
14306,52380,88.5,67.5,78.5,6.15,20.0,7.9,1915,442,0.0,3,53.45788043478261,70.5,13.5,0.14,29.175,41.957799,-87.930995,7,53818.288949465306,78.5,0.04225204445376389,13.5,88.5,67.5,3.0,6.149999999999998,18.109491857132877,0.03601348990004778,62.82096176696722,0,1,0,0,0,0,0,0.10477545121044947
15223,51600,87.5,69.5,79.0,3.0,18.5,9.05,1908,448,0.0,6,53.45788043478261,70.5,14.0,1.51,29.21,41.797616,-87.797894,8,53698.04519180242,79.0,0.0397070415133999,14.0,87.5,69.5,6.0,2.9999999999999964,18.15872963741461,0.10131010246978284,63.28349973725697,0,1,0,0,0,0,0,0.10239310270920811
15327,51600,87.5,69.5,79.0,3.0,18.5,9.05,1908,448,0.0,6,53.45788043478261,70.5,14.0,1.51,29.21,41.776156,-87.778927,8,53683.81002087684,79.0,0.03943763048016701,14.0,87.5,69.5,6.0,2.9999999999999964,18.161045146137788,0.11086801931106297,63.332463465553246,0,1,0,0,0,0,0,0.10168465179930514
15503,51600,87.5,69.5,79.0,3.0,18.5,9.05,1908,448,0.0,6,53.45788043478261,70.5,14.0,1.51,29.21,41.99247800000001,-87.862995,8,53660.154798761614,79.0,0.03898993808049536,14.0,87.5,69.5,6.0,2.9999999999999964,18.164892930856553,0.12675083849329022,63.41382868937048,0,1,0,0,0,0,0,0.10963343288452715
15509,51600,87.5,69.5,79.0,3.0,18.5,9.05,1908,448,0.0,6,53.45788043478261,70.5,14.0,1.51,29.21,41.974689,-87.890615,8,53659.357833655704,79.0,0.03897485493230174,14.0,87.5,69.5,6.0,2.9999999999999964,18.1650225660864,0.12728594455190015,63.41656995486783,0,0,1,0,0,0,0,0.109849459817667
15511,51600,87.5,69.5,79.0,3.0,18.5,9.05,1908,448,0.0,6,53.45788043478261,70.5,14.0,1.51,29.21,41.974689,-87.890615,8,53659.092315626614,79.0,0.038969829809179984,14.0,87.5,69.5,6.0,2.9999999999999964,18.16506575554409,0.12746422124806414,63.41748323878289,0,1,0,0,0,0,0,0.12292794869115045
15517,51600,87.5,69.5,79.0,3.0,18.5,9.05,1908,448,0.0,6,53.45788043478261,70.5,14.0,1.51,29.21,41.957799,-87.930995,8,53658.29617218714,79.0,0.03895476221162522,14.0,87.5,69.5,6.0,2.9999999999999964,18.165195257120768,0.1279987756154125,63.4202216780513,0,0,1,0,0,0,0,0.1282776369751536
15519,51600,87.5,69.5,79.0,3.0,18.5,9.05,1908,448,0.0,6,53.45788043478261,70.5,14.0,1.51,29.21,41.957799,-87.930995,8,53658.03092783506,79.0,0.03894974226804124,14.0,87.5,69.5,6.0,2.9999999999999964,18.165238402061856,0.1281768685566992,63.42113402061856,0,1,0,0,0,0,0,0.14319712148748476
15523,51600,87.5,69.5,79.0,3.0,18.5,9.05,1908,448,0.0,6,53.45788043478261,70.5,14.0,1.51,29.21,41.957799,-87.930995,8,53657.500644163876,79.0,0.03893970626127287,14.0,87.5,69.5,6.0,2.9999999999999964,18.165324658593143,0.12853291677402548,63.42295800051533,0,0,0,0,0,0,0,0.11591373196600718
15524,51600,87.5,69.5,79.0,3.0,18.5,9.05,1908,448,0.0,6,53.45788043478261,70.5,14.0,1.51,29.21,41.957799,-87.930995,8,53657.36811594203,79.0,0.03893719806763285,14.0,87.5,69.5,6.0,2.9999999999999964,18.165346215781,0.12862190016102876,63.42341384863124,1,0,0,0,0,0,0,0.11594678089574047
15671,51600,87.5,69.5,79.0,3.0,18.5,9.05,1908,448,0.0,6,53.45788043478261,70.5,14.0,1.51,29.21,41.763733,-87.742302,8,53638.07044410414,79.0,0.03857197549770292,14.0,87.5,69.5,6.0,2.9999999999999964,18.16848519652884,0.14157893057682466,63.48979070954569,0,1,0,0,0,0,0,0.10085549063203429
15759,51600,87.5,69.5,79.0,3.0,18.5,9.05,1908,448,0.0,6,53.45788043478261,70.5,14.0,1.51,29.21,41.777689,-87.749149,8,53626.69035532995,79.0,0.038356598984771575,14.0,87.5,69.5,6.0,2.9999999999999964,18.170336294416245,0.1492198604060923,63.52893401015229,0,1,0,0,0,0,0,0.10404854693122359
15783,51480,87.5,70.0,79.0,4.55,31.0,6.85,1907,449,0.0,5,53.45788043478261,71.5,14.0,0.04,29.27,41.95469,-87.800991,8,53623.58590978206,79.0,0.03829827673593512,14.0,87.5,69.5,6.0,2.9999999999999964,18.17321338063862,0.15100956664977316,63.53972377090725,0,1,0,0,0,0,0,0.10931210453859007
15797,51480,87.5,70.0,79.0,4.55,31.0,6.85,1907,449,0.0,5,53.45788043478261,71.5,14.0,0.04,29.27,41.974089,-87.824812,8,53621.68628940372,79.0,0.03826433725788075,14.0,87.5,70.0,5.0,2.9999999999999964,18.184580326623625,0.1509111912900379,63.54677807317382,0,0,1,0,0,0,0,0.10607399180588338
