,Date,Day_length,Tmax,Tmin,Tavg,ResultSpeed,ResultDir,AvgSpeed,Sunset,Sunrise,Heat,Depart,DewPoint,WetBulb,Cool,CodeSum,PrecipTotal,StnPressure
0,2007-05-01,50460,83.5,51.0,67.5,2.2,26.0,9.399999999999999,1849,448,0.0,14,53.45788043478261,56.5,2.5, ,0.0,29.14
1,2007-05-02,50580,59.5,42.5,51.5,13.15,3.0,13.4,1850,447,13.5,-3,53.45788043478261,47.0,0.0,BR,0.0,29.41
2,2007-05-03,50700,66.5,47.0,57.0,12.3,6.5,12.55,1851,446,8.0,2,53.45788043478261,49.0,0.0, ,0.0,29.425
3,2007-05-04,50880,72.0,50.0,61.5,10.25,7.5,10.600000000000001,1852,444,3.0,4,53.45788043478261,50.0,-0.5,RA,0.0,29.335
4,2007-05-05,51000,66.0,53.5,60.0,11.45,7.0,11.75,1853,443,5.0,5,53.45788043478261,49.5,0.0, ,0.0,29.43
5,2007-05-06,51180,68.0,50.5,59.5,14.100000000000001,10.5,14.75,1855,442,5.5,4,53.45788043478261,46.0,0.0, ,0.0,29.595
6,2007-05-07,51300,83.5,48.5,66.0,8.55,17.5,10.2,1856,441,0.0,10,53.45788043478261,53.5,1.0,RA,0.0,29.41
7,2007-05-08,51480,81.0,57.0,69.0,2.6,9.5,5.6,1857,439,0.0,12,53.45788043478261,62.5,4.0,BR,0.0,29.325
8,2007-05-09,51600,76.5,62.0,69.5,3.9,8.0,6.050000000000001,1858,438,0.0,13,53.45788043478261,63.0,4.5,BR HZ,0.075,29.245
9,2007-05-10,51720,83.5,57.5,70.5,1.35,13.0,4.0,1859,437,0.0,14,53.45788043478261,60.5,5.5,BR,0.0,29.23
10,2007-05-11,51840,71.5,50.0,61.0,11.5,19.5,12.850000000000001,1860,436,4.0,4,53.45788043478261,51.0,0.0, ,0.0,29.36
11,2007-05-12,51960,64.5,46.5,55.5,12.55,2.0,12.95,1901,435,9.5,-2,53.45788043478261,46.0,0.0, ,0.0,29.515
12,2007-05-13,52080,69.0,43.5,56.5,6.5,12.5,7.85,1902,434,8.5,-2,53.45788043478261,46.0,0.0, ,0.0,29.52
13,2007-05-14,52200,90.0,55.0,72.5,15.5,21.0,15.95,1903,433,0.0,15,53.45788043478261,58.5,7.5, ,0.0,29.27
14,2007-05-15,52320,81.0,56.5,69.0,8.1,26.0,11.55,1904,432,0.0,11,53.45788043478261,61.0,4.0,RA BR,0.49,29.16
15,2007-05-16,52440,65.0,44.5,55.0,7.9,36.0,12.0,1905,431,10.0,-4,53.45788043478261,47.5,0.0,RA BR,0.10500000000000001,29.36
16,2007-05-17,52560,61.5,43.5,53.0,11.1,2.0,11.75,1906,430,12.0,-6,53.45788043478261,43.0,0.0, ,0.0,29.585
17,2007-05-18,52680,70.5,42.5,57.0,4.4,23.5,6.5,1907,429,8.0,-3,53.45788043478261,46.5,0.0, ,0.0,29.565
18,2007-05-19,52800,80.0,56.0,68.0,11.1,23.5,11.4,1908,428,0.0,8,53.45788043478261,53.0,3.0, ,0.0,29.375
19,2007-05-20,52920,69.0,43.5,56.5,9.5,3.5,10.2,1909,427,8.5,-5,53.45788043478261,44.5,0.0,RA VCTS,0.09,29.41
20,2007-05-21,53040,79.5,45.0,62.5,6.3,10.5,8.0,1910,426,2.5,1,53.45788043478261,56.5,0.0, ,0.0,29.36
21,2007-05-22,53160,87.0,57.5,72.5,10.05,17.0,10.399999999999999,1911,425,0.0,10,53.45788043478261,58.0,7.5, ,0.0,29.375
22,2007-05-23,53220,89.0,63.0,76.5,11.15,18.5,11.5,1912,425,0.0,14,53.45788043478261,61.0,11.5, ,0.0,29.43
23,2007-05-24,53340,88.0,64.5,76.5,14.350000000000001,20.5,16.25,1913,424,0.0,14,53.45788043478261,63.0,11.5,RA HZ,0.01,29.439999999999998
24,2007-05-25,53460,68.0,56.5,62.5,4.7,5.0,8.5,1914,423,2.5,1,53.45788043478261,53.0,0.0, ,0.045,29.54
25,2007-05-26,53580,67.5,49.5,58.5,2.65,16.0,7.5,1915,422,6.5,-5,53.45788043478261,56.5,0.0,TSRA RA BR HZ,0.645,29.39
26,2007-05-27,53640,75.0,58.0,66.5,8.55,25.0,9.35,1916,422,0.0,4,53.45788043478261,56.5,1.5,RA BR,0.06,29.375
27,2007-05-28,53700,77.5,52.0,65.0,4.75,9.0,5.25,1916,421,0.0,2,53.45788043478261,56.5,0.0,RA,0.0,29.46
28,2007-05-29,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
29,2007-05-30,53880,88.0,68.0,78.5,10.0,18.0,10.35,1918,420,0.0,13,53.45788043478261,65.5,13.5,HZ,0.0,29.345
30,2007-05-31,53940,79.0,66.5,73.0,9.100000000000001,18.5,9.55,1919,420,0.0,8,53.45788043478261,65.5,8.0,RA HZ,0.27,29.310000000000002
31,2007-06-01,54060,85.5,64.5,75.5,4.45,16.5,6.1,1920,419,0.0,10,53.45788043478261,66.5,10.5,TSRA BR HZ,0.2,29.22
32,2007-06-02,54060,81.0,66.5,74.0,7.0,21.5,7.8,1920,419,0.0,9,53.45788043478261,67.0,9.0,RA BR,0.02,29.065
33,2007-06-03,54180,77.5,63.0,70.5,5.050000000000001,24.5,6.95,1921,418,0.0,6,53.45788043478261,63.5,5.5,TSRA RA BR HZ,0.165,28.845
34,2007-06-04,54240,71.5,57.0,64.5,7.85,30.5,9.899999999999999,1922,418,0.5,1,53.45788043478261,60.0,0.0,TSRA RA BR,0.35,28.85
35,2007-06-05,54360,63.5,49.0,56.5,5.7,4.0,7.85,1923,417,8.5,-9,53.45788043478261,51.5,0.0,RA BR,0.345,29.130000000000003
36,2007-06-06,54360,72.0,46.0,59.5,10.2,16.0,11.0,1923,417,5.5,-8,53.45788043478261,55.0,0.0,RA,0.005,29.1
37,2007-06-07,54420,91.5,71.0,81.5,21.5,19.5,21.9,1924,417,0.0,15,53.45788043478261,68.5,16.5, ,0.0,28.875
38,2007-06-08,54480,81.0,60.0,70.5,10.100000000000001,27.0,13.100000000000001,1925,417,0.0,3,53.45788043478261,61.5,5.5, ,0.0,29.21
39,2007-06-09,54540,79.0,54.5,67.0,1.3499999999999999,26.0,4.85,1925,416,0.0,0,53.45788043478261,57.5,2.0, ,0.0,29.39
40,2007-06-10,54600,81.0,58.0,69.5,4.699999999999999,16.5,5.699999999999999,1926,416,0.0,1,53.45788043478261,59.5,4.5, ,0.0,29.365000000000002
41,2007-06-11,54600,85.5,61.5,73.5,5.75,10.0,7.65,1926,416,0.0,5,53.45788043478261,61.0,8.5, ,0.0,29.439999999999998
42,2007-06-12,54660,82.5,64.0,73.5,8.850000000000001,5.0,9.4,1927,416,0.0,5,53.45788043478261,60.5,8.5, ,0.0,29.465
43,2007-06-13,54660,86.5,64.0,75.5,7.1,5.0,3.8,1927,416,0.0,6,53.45788043478261,62.0,10.5, ,0.0,14.18
44,2007-06-14,54720,89.0,66.0,78.0,5.75,6.0,6.6,1928,416,0.0,9,53.45788043478261,63.5,13.0, ,0.0,29.33
45,2007-06-15,54720,90.0,65.0,77.5,3.9499999999999997,7.5,4.5,1928,416,0.0,9,53.45788043478261,64.5,12.5, ,0.0,29.310000000000002
46,2007-06-16,54780,92.5,67.0,80.0,3.45,25.0,5.949999999999999,1929,416,0.0,11,53.45788043478261,67.5,15.0,RA HZ,0.0,29.295
47,2007-06-17,54780,91.0,70.5,81.0,3.4,11.0,6.199999999999999,1929,416,0.0,12,53.45788043478261,70.0,16.0,HZ,0.08,29.255000000000003
48,2007-06-18,54780,89.0,71.0,80.0,13.1,20.0,13.85,1929,416,0.0,9,53.45788043478261,70.0,15.0,TSRA RA HZ,0.15000000000000002,29.155
49,2007-06-19,54840,80.5,65.0,73.0,10.399999999999999,28.5,11.350000000000001,1930,416,0.0,3,53.45788043478261,63.0,8.0,RA,0.755,29.285
50,2007-06-20,54840,84.5,61.5,73.5,6.85,27.5,8.25,1930,416,0.0,3,53.45788043478261,61.0,8.5, ,0.0,29.425
51,2007-06-21,54840,78.5,63.5,71.0,3.6,2.5,10.149999999999999,1930,416,0.0,-1,53.45788043478261,60.5,6.0,RA,0.005,29.384999999999998
52,2007-06-22,54840,75.5,61.5,69.0,7.15,6.5,8.399999999999999,1931,417,0.0,-1,53.45788043478261,58.0,4.0,RA,0.0,29.36
53,2007-06-23,54840,67.5,61.5,65.0,7.449999999999999,11.5,8.55,1931,417,0.0,-5,53.45788043478261,61.5,0.0,RA BR,0.195,29.255000000000003
54,2007-06-24,54840,76.0,64.0,70.0,6.3,9.5,7.0,1931,417,0.0,-1,53.45788043478261,65.0,5.0,BR HZ,0.0,29.295
55,2007-06-25,54840,87.5,66.0,77.0,3.95,13.0,6.35,1931,417,0.0,6,53.45788043478261,70.0,12.0,BR HZ,0.0,29.41
56,2007-06-26,54780,91.5,71.5,81.5,6.699999999999999,21.5,7.6,1931,418,0.0,10,53.45788043478261,72.0,16.5,TSRA BR HZ VCTS,0.08,29.42
57,2007-06-27,54780,90.0,71.0,80.5,7.7,24.0,8.65,1931,418,0.0,10,53.45788043478261,72.0,15.5,TSRA,0.25,29.325
58,2007-06-28,54720,73.5,59.5,66.5,12.05,2.5,12.9,1931,419,0.0,-5,53.45788043478261,60.5,1.5, ,0.0,29.42
59,2007-06-29,54720,70.5,56.0,63.5,7.5,2.0,8.25,1931,419,1.5,-8,53.45788043478261,59.5,0.0, ,0.0,29.439999999999998
60,2007-06-30,54720,78.0,56.0,67.5,5.0,3.5,6.0,1931,419,0.0,-5,53.45788043478261,57.0,2.5, ,0.0,29.435000000000002
61,2007-07-01,54660,75.5,57.5,67.0,9.05,4.0,9.149999999999999,1931,420,0.0,-7,53.45788043478261,58.5,2.0, ,0.0,29.535
62,2007-07-02,54660,78.0,55.5,67.0,6.65,13.0,8.3,1931,420,0.0,-6,53.45788043478261,58.5,2.0, ,0.0,29.52
63,2007-07-03,54600,83.0,61.5,72.5,6.550000000000001,21.0,7.35,1931,421,0.0,0,53.45788043478261,63.0,7.5,TSRA RA BR,0.245,29.345
64,2007-07-04,54480,85.0,67.0,76.5,3.8499999999999996,26.0,8.5,1930,422,0.0,5,53.45788043478261,69.0,11.5,TSRA BR HZ FU,0.41000000000000003,29.205
