Date,Address,Species,Block,Street,Trap,AddressNumberAndStreet,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Day_length,Tmax,Tmin,Tavg,ResultSpeed,ResultDir,AvgSpeed,Sunset,Sunrise,Heat,Depart,DewPoint,WetBulb,Cool,CodeSum,PrecipTotal,StnPressure
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.65449100000002,8,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,3,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX PIPIENS/RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 113TH ST,T086,"2200  W 113TH ST, Chicago, IL",41.688324,-87.676709,8,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"1100 South Peoria Street, Chicago, IL 60608, USA",CULEX RESTUANS,11, S PEORIA ST,T091,"1100  S PEORIA ST, Chicago, IL",41.862292,-87.64886,8,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"1700 West 95th Street, Chicago, IL 60643, USA",CULEX RESTUANS,17, W 95TH ST,T094,"1700  W 95TH ST, Chicago, IL",41.720848,-87.666014,9,3,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX RESTUANS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,5,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",CULEX PIPIENS,22, W 89TH ST,T096,"2200  W 89TH ST, Chicago, IL",41.731922,-87.677512,8,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",CULEX PIPIENS/RESTUANS,53, N STREETER DR,T129,"5300  N STREETER DR, Chicago, IL",41.891126,-87.61156,5,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415
