,Trap,Species,NumMosquitos,WnvPresent,Day_length,Tmax,Tmin,Tavg,ResultSpeed,ResultDir,AvgSpeed,Sunset,Heat,Depart,DewPoint,Cool,CodeSum,PrecipTotal,StnPressure,Latitude,Longitude,Month,Day_length_exp,Tavg_shift,Heat_exp,Cool_shift,Tmax_shift,Tmin_shift,Depart_shift,ResultSpeed_shift,ResultDir_exp,PrecipTotal_exp
0,T002,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.95469,-87.800991,5,53760.0,75.5,0.0,10.5,88.0,62.5,62.5,5.8,17.0,0.0
1,T002,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.95469,-87.800991,5,53760.0,75.5,0.0,10.5,88.0,62.5,62.5,5.8,17.0,0.0
2,T007,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.994991,-87.769279,5,53760.0,75.5,0.0,10.5,88.0,62.5,62.5,5.8,17.0,0.0
3,T015,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.974089,-87.824812,5,53760.0,75.5,0.0,10.5,88.0,62.5,62.5,5.8,17.0,0.0
4,T015,CULEX RESTUANS,4,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.974089,-87.824812,5,53760.0,75.5,0.0,10.5,88.0,62.5,62.5,5.8,17.0,0.0
5,T045,CULEX RESTUANS,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.9216,-87.666455,5,53760.0,75.5,0.0,10.5,88.0,62.5,62.5,5.8,17.0,0.0
6,T046,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.891118,-87.65449100000002,5,53760.0,75.5,0.0,10.5,88.0,62.5,62.5,5.8,17.0,0.0
7,T048,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.867108,-87.654224,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
8,T048,CULEX RESTUANS,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.867108,-87.654224,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
9,T049,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,0.0,10,53.45788043478261,10.5,BR HZ,0.0,29.415,41.896282,-87.655232,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,0.0
