,Longitude,Latitude,Trap,NumMosquitos,WnvPresent
528,-87.531635,41.686398,T215,63,1
572,-87.599862,41.673408,T115,2356,1
573,-87.599862,41.673408,T115,644,1
672,-87.800991,41.95469,T002,104,1
682,-87.77792099999998,42.008314,T008,72,1
811,-87.642984,41.803423,T082,69,1
822,-87.676709,41.688324,T086,223,1
829,-87.666901,41.868077,T090,61,1
855,-87.536497,41.702724,T103,378,1
876,-87.72460799999998,41.662014,T135,67,1
877,-87.72460799999998,41.662014,T135,89,1
881,-87.585413,41.72646500000001,T138,219,1
994,-87.585413,41.72646500000001,T138,712,1
1016,-87.535198,41.680946,T212,113,1
1035,-87.77792099999998,42.008314,T008,70,1
1208,-87.536497,41.702724,T103,110,1
1213,-87.599862,41.673408,T115,1310,1
1214,-87.599862,41.673408,T115,315,1
1216,-87.56566600000002,41.704572,T128,80,1
1218,-87.585413,41.72646500000001,T138,1658,1
1244,-87.757639,41.964242,T003,55,1
1272,-87.81150600000002,42.011601,T016,118,1
1273,-87.81150600000002,42.011601,T016,98,1
1313,-87.666455,41.9216,T045,108,1
1368,-87.642984,41.803423,T082,79,1
1430,-87.795585,41.999129,T143,67,1
1460,-87.707973,41.682587,T158,69,1
1477,-87.599862,41.673408,T115,2532,1
1478,-87.599862,41.673408,T115,104,1
1479,-87.56566600000002,41.704572,T128,821,1
1481,-87.585413,41.72646500000001,T138,1000,1
1483,-87.585413,41.72646500000001,T138,651,1
1497,-87.531635,41.686398,T215,60,1
1500,-87.53869300000002,41.659112,T221,279,1
1501,-87.53869300000002,41.659112,T221,177,1
1595,-87.752411,41.778297,T065,67,1
1635,-87.676709,41.688324,T086,62,1
1636,-87.676709,41.688324,T086,57,1
1696,-87.677512,41.731922,T096,85,1
1712,-87.599862,41.673408,T115,1554,1
1714,-87.56566600000002,41.704572,T128,217,1
1715,-87.56566600000002,41.704572,T128,121,1
1716,-87.72460799999998,41.662014,T135,231,1
1717,-87.72460799999998,41.662014,T135,68,1
1718,-87.585413,41.72646500000001,T138,1054,1
1719,-87.585413,41.72646500000001,T138,69,1
1732,-87.559308,41.678618,T200,52,1
1865,-87.676709,41.688324,T086,69,1
1890,-87.72460799999998,41.662014,T135,106,1
1891,-87.72460799999998,41.662014,T135,53,1
1933,-87.536497,41.702724,T103,421,1
1938,-87.599862,41.673408,T115,2207,1
1939,-87.599862,41.673408,T115,269,1
1940,-87.56566600000002,41.704572,T128,290,1
1942,-87.585413,41.72646500000001,T138,561,1
1952,-87.535198,41.680946,T212,211,1
2094,-87.599862,41.673408,T115,1648,1
2116,-87.585413,41.72646500000001,T138,387,1
2416,-87.599862,41.673408,T115,968,1
2564,-87.599862,41.673408,T115,527,1
3738,-87.800991,41.95469,T002,215,1
3975,-87.731435,41.743402,T225,160,1
4209,-87.832763,41.944869,T011,76,1
4265,-87.890615,41.974689,T900,181,1
4268,-87.930995,41.957799,T903,68,1
5507,-87.890615,41.974689,T900,292,1
5508,-87.890615,41.974689,T900,212,1
5533,-87.763416,41.801498,T031,108,1
5605,-87.805059,41.973845,T223,90,1
5623,-87.890615,41.974689,T900,87,1
5753,-87.890615,41.974689,T900,59,1
5816,-87.599862,41.673408,T115,55,1
5865,-87.890615,41.974689,T900,182,1
5869,-87.930995,41.957799,T903,58,1
5975,-87.890615,41.974689,T900,141,1
6173,-87.890615,41.974689,T900,128,1
6301,-87.890615,41.974689,T900,51,1
6426,-87.785288,41.923738,T013,54,1
6478,-87.800515,41.916265,T151,61,1
7166,-87.707973,41.682587,T158,75,1
7187,-87.72505699999998,41.951866,T228,75,1
7191,-87.666066,41.98728,T231,63,1
7203,-87.77792099999998,42.008314,T008,106,1
7221,-87.716788,41.89923,T030,305,1
7310,-87.731435,41.743402,T225,169,1
7313,-87.654234,41.793818,T226,54,1
7316,-87.72505699999998,41.951866,T228,54,1
7317,-87.72505699999998,41.951866,T228,69,1
7332,-87.890615,41.974689,T900,280,1
7333,-87.890615,41.974689,T900,212,1
7623,-87.890615,41.974689,T900,984,1
7625,-87.800991,41.95469,T002,56,1
7626,-87.800991,41.95469,T002,127,1
7640,-87.785288,41.923738,T013,79,1
7682,-87.703047,41.77166,T066,127,1
7721,-87.599862,41.673408,T115,76,1
7740,-87.707973,41.682587,T158,126,1
7777,-87.807277,42.009876,T233,95,1
7819,-87.716788,41.89923,T030,54,1
7928,-87.890615,41.974689,T900,83,1
7974,-87.654224,41.867108,T048,58,1
8069,-87.666066,41.98728,T231,63,1
8072,-87.807277,42.009876,T233,66,1
8078,-87.890615,41.974689,T900,142,1
8079,-87.890615,41.974689,T900,86,1
8089,-87.812827,41.98196400000001,T009,65,1
8090,-87.862995,41.99247800000001,T009,65,1
8091,-87.812827,41.98196400000001,T009,131,1
8092,-87.862995,41.99247800000001,T009,131,1
8168,-87.649642,41.732984,T159,60,1
8179,-87.731435,41.743402,T225,52,1
8188,-87.807277,42.009876,T233,150,1
8193,-87.890615,41.974689,T900,281,1
8194,-87.890615,41.974689,T900,314,1
8221,-87.701431,41.906638,T033,82,1
8236,-87.632085,41.921965,T054,70,1
8237,-87.632085,41.921965,T054,54,1
8269,-87.736812,41.798697,T114,64,1
8291,-87.69181,41.963976,T220,82,1
8318,-87.890615,41.974689,T900,195,1
8319,-87.890615,41.974689,T900,308,1
8376,-87.703047,41.77166,T066,71,1
8398,-87.599862,41.673408,T115,186,1
8442,-87.890615,41.974689,T900,238,1
