,Trap,Species,NumMosquitos,WnvPresent,Day_length,Tmax,Tmin,Tavg,ResultSpeed,ResultDir,AvgSpeed,Sunset,Sunrise,Heat,Depart,DewPoint,WetBulb,Cool,CodeSum,PrecipTotal,StnPressure,Latitude,Longitude,Month,Day_length_shift,Tavg_shift,Heat_shift,Cool_shift,Tmax_shift,Tmin_shift,Depart_shift,ResultSpeed_shift,ResultDir_shift,WetBulb_shift
0,T002,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.95469,-87.800991,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
1,T002,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.95469,-87.800991,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
2,T007,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.994991,-87.769279,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
3,T015,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.974089,-87.824812,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
4,T015,CULEX RESTUANS,4,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.974089,-87.824812,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
5,T045,CULEX RESTUANS,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.9216,-87.666455,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
6,T046,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.891118,-87.65449100000002,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
7,T048,CULEX PIPIENS/RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.867108,-87.654224,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
8,T048,CULEX RESTUANS,2,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.867108,-87.654224,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
9,T049,CULEX RESTUANS,1,0,53760,88.0,62.5,75.5,5.8,17.0,6.95,1917,421,0.0,10,53.45788043478261,65.5,10.5,BR HZ,0.0,29.415,41.896282,-87.655232,5,53760.0,75.5,0.0,10.5,88.0,62.5,10.0,5.8,17.0,65.5
