,Longitude,Latitude,Trap,NumMosquitos,WnvPresent
528,-87.531635,41.686398,T215,63,1
572,-87.599862,41.673408,T115,2356,1
573,-87.599862,41.673408,T115,644,1
672,-87.800991,41.95469,T002,104,1
682,-87.77792099999998,42.008314,T008,72,1
702,-87.824812,41.974089,T015,11,1
769,-87.752411,41.778296999999995,T065,31,1
808,-87.62779599999998,41.821582,T081,20,1
811,-87.642984,41.803422999999995,T082,69,1
822,-87.676709,41.688324,T086,223,1
829,-87.666901,41.868077,T090,61,1
840,-87.677512,41.731922,T096,17,1
855,-87.536497,41.702723999999996,T103,378,1
876,-87.72460799999998,41.662014,T135,67,1
877,-87.72460799999998,41.662014,T135,89,1
881,-87.585413,41.72646500000001,T138,219,1
892,-87.794896,41.94016,T144,11,1
942,-87.69181,41.963976,T220,2,1
969,-87.677512,41.731922,T096,20,1
994,-87.585413,41.72646500000001,T138,712,1
1016,-87.535198,41.680946,T212,113,1
1035,-87.77792099999998,42.008314,T008,70,1
1044,-87.832763,41.944869,T011,43,1
1045,-87.832763,41.944869,T011,28,1
1049,-87.787992,41.970248,T014,44,1
1051,-87.824812,41.974089,T015,26,1
1054,-87.81150600000002,42.011601,T016,37,1
1117,-87.642984,41.803422999999995,T082,8,1
1162,-87.795585,41.999128999999996,T143,29,1
1163,-87.795585,41.999128999999996,T143,15,1
1197,-87.68826700000002,41.903002,T160,1,1
1200,-87.61425799999998,41.725516999999996,T162,7,1
1208,-87.536497,41.702723999999996,T103,110,1
1213,-87.599862,41.673408,T115,1310,1
1214,-87.599862,41.673408,T115,315,1
1216,-87.56566600000002,41.704572,T128,80,1
1218,-87.585413,41.72646500000001,T138,1658,1
1229,-87.546587,41.740641,T209,41,1
1242,-87.800991,41.95469,T002,41,1
1244,-87.757639,41.964242,T003,55,1
1245,-87.757639,41.964242,T003,27,1
1250,-87.797127,41.990284,T006,20,1
1251,-87.797127,41.990284,T006,16,1
1253,-87.77792099999998,42.008314,T008,12,1
1255,-87.812827,41.98196400000001,T009,27,1
1256,-87.862995,41.99247800000001,T009,27,1
1257,-87.812827,41.98196400000001,T009,38,1
1258,-87.862995,41.99247800000001,T009,38,1
